standard_diff,"1,500-2,999 ft","3,000-5,999 ft","< 1,500 ft"
3420.0,0.0,0.0,8.0
3450.0,0.0,0.0,15.0
3480.0,0.0,0.0,7.0
3510.0,0.0,0.0,7.0
3540.0,0.0,0.0,8.0
3570.0,0.0,0.0,7.0
3600.0,1.0,1.0,7.0
3630.0,0.0,1.0,6.0
3660.0,1.0,0.0,6.0
3720.0,0.0,0.0,8.0
3750.0,0.0,0.0,6.0
3780.0,0.0,0.0,7.0
3810.0,0.0,0.0,10.0
3840.0,0.0,1.0,4.0
3870.0,0.0,0.0,4.0
3900.0,0.0,0.0,3.0
3930.0,0.0,0.0,1.0
3960.0,0.0,0.0,4.0
3990.0,0.0,0.0,3.0
4020.0,0.0,0.0,3.0
4050.0,0.0,0.0,3.0
4080.0,0.0,0.0,4.0
4110.0,0.0,0.0,4.0
4140.0,0.0,0.0,3.0
4170.0,0.0,0.0,4.0
4200.0,0.0,0.0,13.0
4230.0,0.0,0.0,5.0
4260.0,0.0,0.0,1.0
4290.0,0.0,0.0,5.0
4320.0,0.0,1.0,5.0
4350.0,0.0,0.0,2.0
4380.0,0.0,0.0,8.0
4410.0,0.0,0.0,1.0
4440.0,0.0,0.0,2.0
4560.0,0.0,0.0,1.0
4590.0,0.0,0.0,2.0
4620.0,0.0,0.0,1.0
4650.0,0.0,0.0,1.0
4890.0,0.0,0.0,1.0
5490.0,0.0,0.0,1.0
